发版项ID,版本号,发版日期,机型,发版项名称,来源,自动初筛,用户可感知,用户价值一句话,关联原声数,备注
2.74.0::E2/E2H适配(暂定),2.74.0,07-20,"E2, E2H",E2/E2H适配(暂定),Confluence,建议内部,否,,0,
2.73.0::S2语音助手,2.73.0,06-29,S2、E1、S6,S2语音助手,Confluence,建议可感知,否,,0,
2.73.0::作文批改渲染替换成 markwon,2.73.0,06-29,S2、E1、S6,作文批改渲染替换成 markwon,Confluence,建议可感知,否,,0,
2.73.0::备考计划支持跨册次,2.73.0,06-29,S2、E1、S6,备考计划支持跨册次,Confluence,建议可感知,是,新增高中备考内容，支持用户一次选择多册次的内容,13,
2.73.0::试卷「名校专区」标签,2.73.0,06-29,S2、E1、S6,试卷「名校专区」标签,Confluence,建议可感知,是,支持用户快速查找名校试卷,841,
2.73.0::迷宫资源拆分,2.73.0,06-29,S2、E1、S6,迷宫资源拆分,Confluence,待确认,待确认,,0,
2.73.0::手写问题修复Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-35320,2.73.0,06-29,S2、E1、S6,手写问题修复Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-35320,Confluence,建议内部,否,,0,
2.72.0-1::回滚：2.72.0修改的互动阅读听书相关功能；,2.72.0-1,06-16,S2、E1、S6,回滚：2.72.0修改的互动阅读听书相关功能；,Confluence,建议可感知,否,,0,
2.72.0-1::FIX：PDF资料崩溃,2.72.0-1,06-16,S2、E1、S6,FIX：PDF资料崩溃,Confluence,建议内部,否,,0,
2.72.0::AI精准复习-文科（备考）周子威,2.72.0,06-15,S2、E1、S6,AI精准复习-文科（备考）,石墨,建议可感知,是,新增文科备考内容（小学语文、初中语文、小学英语、初中英语）,334,
2.72.0::复习流程：文科方案根据各科教研定义的复习模块依次进行,2.72.0,06-15,S2、E1、S6,复习流程：文科方案根据各科教研定义的复习模块依次进行,石墨,建议可感知,否,,0,
2.72.0::小学语文 / 初中语文：基础知识夯实 → 诗文应用 → 阅读理解 → 写作表达,2.72.0,06-15,S2、E1、S6,小学语文 / 初中语文：基础知识夯实 → 诗文应用 → 阅读理解 → 写作表达,石墨,建议可感知,否,,0,
2.72.0::文科备考,2.72.0,06-15,S2、E1、S6,文科备考,Confluence,建议可感知,否,,0,
2.72.0::暑假计划,2.72.0,06-15,S2、E1、S6,暑假计划,石墨,建议可感知,是,为用户推荐暑期复习方案,13,
2.72.0::语文&英语作文批改高考管控,2.72.0,06-15,S2、E1、S6,语文&英语作文批改高考管控,Confluence,建议可感知,否,,0,
2.72.0::ai答疑对话气泡内替换成 markwon渲染,2.72.0,06-15,S2、E1、S6,ai答疑对话气泡内替换成 markwon渲染,Confluence,待确认,否,,0,
2.72.0::push版本升级,2.72.0,06-15,S2、E1、S6,push版本升级,Confluence,待确认,否,,0,
2.72.0::初中英语：基础巩固 → 篇章强化 → 技能突破,2.72.0,06-15,S2、E1、S6,初中英语：基础巩固 → 篇章强化 → 技能突破,石墨,待确认,否,,0,
2.72.0::小学英语：基础知识强化 → 技能突破,2.72.0,06-15,S2、E1、S6,小学英语：基础知识强化 → 技能突破,石墨,待确认,否,,0,
2.72.0::支持学段学科：小学数语英、初中数语英物理化学,2.72.0,06-15,S2、E1、S6,支持学段学科：小学数语英、初中数语英物理化学,石墨,待确认,否,,0,
2.72.0::题目详情页替换成webview,2.72.0,06-15,S2、E1、S6,题目详情页替换成webview,Confluence,待确认,否,,0,
2.72.0::修复诊断报告的问题,2.72.0,06-15,S2、E1、S6,修复诊断报告的问题,Confluence,建议内部,否,,0,
2.72.0::小猿电台问题修复,2.72.0,06-15,S2、E1、S6,小猿电台问题修复,Confluence,建议内部,否,,0,
2.72.0::崩溃修复3处,2.72.0,06-15,S2、E1、S6,崩溃修复3处,Confluence,建议内部,否,,0,
2.72.0::崩溃和oom修复,2.72.0,06-15,S2、E1、S6,崩溃和oom修复,Confluence,建议内部,否,,0,
2.72.0::问题修复 - 材料中作答的题目订正,2.72.0,06-15,S2、E1、S6,问题修复 - 材料中作答的题目订正,Confluence,建议内部,否,,0,
2.71.5::口算多账号错题本同步,2.71.5,05-25,S2、E1、S6,口算多账号错题本同步,Confluence,建议可感知,是,,300,
2.71.5::语音助手迁移至系统,2.71.5,05-25,S2、E1、S6,语音助手迁移至系统,Confluence,建议可感知,否,,0,
"2.71.5::extension仓库独立包名(dev下, 线上无影响)",2.71.5,05-25,S2、E1、S6,"extension仓库独立包名(dev下, 线上无影响)",Confluence,待确认,否,,0,
2.71.5::学龄前拆分-小猿电台,2.71.5,05-25,S2、E1、S6,学龄前拆分-小猿电台,Confluence,待确认,否,,0,
2.71.5::拍批接入大模型,2.71.5,05-25,S2、E1、S6,拍批接入大模型,Confluence,待确认,否,,0,
2.71.5::飞象登录流程改造,2.71.5,05-25,S2、E1、S6,飞象登录流程改造,Confluence,待确认,否,,0,
2.71.5::修复绘画本笔迹被截断问题Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-34625,2.71.5,05-25,S2、E1、S6,修复绘画本笔迹被截断问题Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-34625,Confluence,建议内部,否,,0,
2.70.4::修复互动题变大的问题,2.70.4,05-11,E1,修复互动题变大的问题,Confluence,建议内部,否,,0,
2.70.1::全学科诊断,2.70.1,05-08,S2、E1、S6,全学科诊断,Confluence,建议可感知,是,支持用户全学科使用诊断功能,39,
2.70.1::全学科诊断周子威,2.70.1,05-08,S2、E1、S6,全学科诊断周子威,石墨,建议可感知,否,,0,
2.70.1::凸显好成绩与学练机练习的相关性,2.70.1,05-08,S2、E1、S6,凸显好成绩与学练机练习的相关性,石墨,建议可感知,否,,0,
2.70.1::学练侧优化--S6设备更换锁屏图片&修改「名师课」tab名称,2.70.1,05-08,S2、E1、S6,学练侧优化--S6设备更换锁屏图片&修改「名师课」tab名称,Confluence,建议可感知,否,,0,
2.70.1::统一学习机、学练机计算逻辑,2.70.1,05-08,S2、E1、S6,统一学习机、学练机计算逻辑,Confluence,建议可感知,否,,0,
2.70.1::S6设备更换锁屏图片周子威,2.70.1,05-08,S2、E1、S6,S6设备更换锁屏图片周子威,石墨,待确认,否,,0,
2.70.1::octopus日志通过frog上报,2.70.1,05-08,S2、E1、S6,octopus日志通过frog上报,Confluence,待确认,否,,0,
2.70.1::备注：当前需要用户更改签名后才会生效,2.70.1,05-08,S2、E1、S6,备注：当前需要用户更改签名后才会生效,石墨,待确认,否,,0,
2.70.1::拍批错题本题目详情页ai答疑加载异常,2.70.1,05-08,S2、E1、S6,拍批错题本题目详情页ai答疑加载异常,Confluence,待确认,否,,0,
2.70.1::推送AppId配置修改,2.70.1,05-08,S2、E1、S6,推送AppId配置修改,Confluence,待确认,否,,0,
2.70.1::自研点读轨迹不上报Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-34233,2.70.1,05-08,S2、E1、S6,自研点读轨迹不上报Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-34233,Confluence,待确认,否,,0,
2.70.1::2.69灰度问题修复,2.70.1,05-08,S2、E1、S6,2.69灰度问题修复,Confluence,建议内部,否,,0,
2.69.3::修复0420热更版本偶现热更不生效问题,2.69.3,04-21,S2、E1、S6,修复0420热更版本偶现热更不生效问题,Confluence,建议内部,否,,0,
2.69.1-1::修复0414版本用户反馈--绘画本笔迹上移,2.69.1-1,04-20,S2、E1、S6,修复0414版本用户反馈--绘画本笔迹上移,Confluence,建议内部,否,,0,
2.69.1::AI精准复习-期中周子威,2.69.1,04-14,S2、E1、S6,AI精准复习-期中,石墨,建议可感知,是,期中备考功能，为用户提供期中复习方案,286,
2.69.1::学练机push优化,2.69.1,04-14,S2、E1、S6,学练机push优化,Confluence,建议可感知,否,,0,
2.69.1::期中AI精准复习,2.69.1,04-14,S2、E1、S6,期中AI精准复习,Confluence,建议可感知,否,,0,
2.69.1::试卷辅助生产,2.69.1,04-14,S2、E1、S6,试卷辅助生产,Confluence,建议可感知,否,,0,
2.69.1::阶段测优化,2.69.1,04-14,S2、E1、S6,阶段测优化,Confluence,建议可感知,否,,0,
2.69.1::Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33992优化教辅pdf图片练习图片存储方式,2.69.1,04-14,S2、E1、S6,Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33992优化教辅pdf图片练习图片存储方式,Confluence,待确认,否,,0,
2.69.1::frog耗时监控,2.69.1,04-14,S2、E1、S6,frog耗时监控,Confluence,待确认,否,,0,
2.69.1::学练机应用拆分 Permanent,2.69.1,04-14,S2、E1、S6,学练机应用拆分 Permanent,Confluence,待确认,否,,0,
2.69.1::学练机应用拆分升级,2.69.1,04-14,S2、E1、S6,学练机应用拆分升级,Confluence,待确认,否,,0,
2.69.1::学龄前应用拆分,2.69.1,04-14,S2、E1、S6,学龄前应用拆分,Confluence,待确认,否,,0,
2.69.1::调整云文件同步轮询间隔从30分钟到60分钟,2.69.1,04-14,S2、E1、S6,调整云文件同步轮询间隔从30分钟到60分钟,Confluence,待确认,否,,0,
2.69.1::首页版本更新相关同步调用改为异步调用,2.69.1,04-14,S2、E1、S6,首页版本更新相关同步调用改为异步调用,Confluence,待确认,否,,0,
2.69.1::崩溃问题修复,2.69.1,04-14,S2、E1、S6,崩溃问题修复,Confluence,建议内部,否,,0,
2.67.0::单元真题测优化周子威,2.67.0,03-30,S2、E1、S6、S1,单元真题测优化周子威,石墨,建议可感知,否,,0,
2.67.0::支持英语作文批改周子威,2.67.0,03-30,S2、E1、S6、S1,英语作文批改,石墨,建议可感知,是,支持批改英语作文,50,
2.67.0::英语作文批改,2.67.0,03-30,S2、E1、S6、S1,英语作文批改,Confluence,建议可感知,否,,0,
2.67.0::举一反三更改为实时请求,2.67.0,03-30,S2、E1、S6、S1,举一反三更改为实时请求,Confluence,待确认,否,,0,
2.67.0::互动阅读zip打开失败修复: 问题,2.67.0,03-30,S2、E1、S6、S1,互动阅读zip打开失败修复: 问题,Confluence,建议内部,否,,0,
2.67.0::修复北京人教电子书包无法打开伴学模式的问题,2.67.0,03-30,S2、E1、S6、S1,修复北京人教电子书包无法打开伴学模式的问题,Confluence,建议内部,否,,0,
2.67.0::拍批详情崩溃修复 & h5 视频播放失败兜底,2.67.0,03-30,S2、E1、S6、S1,拍批详情崩溃修复 & h5 视频播放失败兜底,Confluence,建议内部,否,,0,
2.66.1::单元真题测,2.66.1,03-11,S2、E1、S6,单元真题测,Confluence,建议可感知,是,对单元测进行优化，教研挑选优质测试内容,96,
2.66.1::单元真题测周子威,2.66.1,03-11,S2、E1、S6,单元真题测周子威,石墨,建议可感知,否,,0,
2.66.1::牛津阅读树-部分绘本下线孟玉陈,2.66.1,03-11,S2、E1、S6,牛津阅读树-部分绘本下线孟玉陈,石墨,建议可感知,否,,0,
2.66.1::flavor彩色资源打包替换,2.66.1,03-11,S2、E1、S6,flavor彩色资源打包替换,Confluence,待确认,否,,0,
2.66.1::人教缓存优化,2.66.1,03-11,S2、E1、S6,人教缓存优化,Confluence,待确认,否,,0,
2.66.1::拍批相关详情页webview化,2.66.1,03-11,S2、E1、S6,拍批相关详情页webview化,Confluence,待确认,否,,0,
2.66.1::frog公参修复,2.66.1,03-11,S2、E1、S6,frog公参修复,Confluence,建议内部,否,,0,
2.66.1::线上子线程npe修复,2.66.1,03-11,S2、E1、S6,线上子线程npe修复,Confluence,建议内部,否,,0,
2.66.1::绘本跟读结果页出现时机问题修复,2.66.1,03-11,S2、E1、S6,绘本跟读结果页出现时机问题修复,Confluence,建议内部,否,,0,
2.66.1::英语点读进程年级学期未同步bug 修复,2.66.1,03-11,S2、E1、S6,英语点读进程年级学期未同步bug 修复,Confluence,建议内部,否,,0,
2.66.1::错题本按日期选中不了所有错题的问题修复,2.66.1,03-11,S2、E1、S6,错题本按日期选中不了所有错题的问题修复,Confluence,建议内部,否,,0,
2.66.1::首页ANRJira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33387,2.66.1,03-11,S2、E1、S6,首页ANRJira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33387,Confluence,建议内部,否,,0,
2.65.0::-ai助手外显,2.65.0,02-03,S2、E1、S6,-ai助手外显,Confluence,建议可感知,是,解决找不到ai助手和不知道ai助手能干嘛的问题,3128,
"2.65.0::2xx,4xx,6xx相关题目拍批结果页展示优化",2.65.0,02-03,S2、E1、S6,"2xx,4xx,6xx相关题目拍批结果页展示优化",Confluence,建议可感知,否,,0,
2.65.0::AI语音助手优化张恒志,2.65.0,02-03,S2、E1、S6,AI语音助手优化张恒志,石墨,建议可感知,否,,0,
2.65.0::同步练、试卷练等练习增加练习评价征询,2.65.0,02-03,S2、E1、S6,同步练、试卷练等练习增加练习评价征询,石墨,建议可感知,否,,0,
2.65.0::练习反馈征询,2.65.0,02-03,S2、E1、S6,练习反馈征询,Confluence,建议可感知,否,,0,
2.65.0::错题本分页优化,2.65.0,02-03,S2、E1、S6,错题本分页优化,Confluence,建议可感知,否,,0,
2.65.0::lua 通用参数去除ping 排序策略去除User信息添加缓存,2.65.0,02-03,S2、E1、S6,lua 通用参数去除ping 排序策略去除User信息添加缓存,Confluence,待确认,否,,0,
2.64.11::反应慢优化+刷新模式设置,2.64.11,01-19,S2、E1、S6,反应慢优化+刷新模式设置,Confluence,建议可感知,是,解决反馈页面反应慢、系统反应慢的问题,115,
2.64.11::听写中断无法恢复,2.64.11,01-19,S2、E1、S6,听写中断无法恢复,Confluence,建议可感知,否,,0,
2.64.11::寒假规划,2.64.11,01-19,S2、E1、S6,寒假规划,Confluence,建议可感知,是,提供寒假复习计划,89,
2.64.11::寒假计划孟玉陈,2.64.11,01-19,S2、E1、S6,寒假计划孟玉陈,石墨,建议可感知,否,,0,
2.64.11::电子书包优化,2.64.11,01-19,S2、E1、S6,电子书包优化,Confluence,建议可感知,否,,0,
2.64.11::电子书包优化孟玉陈,2.64.11,01-19,S2、E1、S6,电子书包优化孟玉陈,石墨,建议可感知,否,,0,
2.64.11::首页功能切换提速周子威,2.64.11,01-19,S2、E1、S6,首页功能切换提速周子威,石墨,建议可感知,否,,0,
2.64.11::frog增加entrance和newFunctionId,2.64.11,01-19,S2、E1、S6,frog增加entrance和newFunctionId,Confluence,待确认,否,,0,
2.64.11::作文辅导文案调整Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33225,2.64.11,01-19,S2、E1、S6,作文辅导文案调整Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33225,Confluence,待确认,否,,0,
2.64.11::支持学段学科：小学数语英、初中数语英物理化学,2.64.11,01-19,S2、E1、S6,支持学段学科：小学数语英、初中数语英物理化学,石墨,待确认,否,,0,
2.64.11::离线日志耗时优化,2.64.11,01-19,S2、E1、S6,离线日志耗时优化,Confluence,待确认,否,,0,
2.64.11::laterbug修复Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33051Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-31567,2.64.11,01-19,S2、E1、S6,laterbug修复Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33051Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-31567,Confluence,建议内部,否,,0,
2.64.11::修复文件信息回捞失效 & 新增修改日志,2.64.11,01-19,S2、E1、S6,修复文件信息回捞失效 & 新增修改日志,Confluence,建议内部,否,,0,
2.64.11::回测问题修复（退出登陆账号信息变为未登陆）Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33066,2.64.11,01-19,S2、E1、S6,回测问题修复（退出登陆账号信息变为未登陆）Jira46627c57-89b9-30f0-bb28-547e0dc98f4bMEGREZ-33066,Confluence,建议内部,否,,0,
2.63.11::frog 耗时优化,2.63.11,01-07,S2、E1、S6,frog 耗时优化,Confluence,待确认,否,,0,
2.63.0::AI精准复习周子威,2.63.0,01-05,S2、E1、S6,AI精准复习,石墨,建议可感知,是,复习备考方案迭代,293,
2.63.0::个性化备考,2.63.0,01-05,S2、E1、S6,个性化备考,Confluence,建议可感知,否,,0,
2.63.0::家长管控接入push,2.63.0,01-05,S2、E1、S6,家长管控接入push,Confluence,建议可感知,否,,0,
2.63.0::通用练习 - 未作答优化,2.63.0,01-05,S2、E1、S6,通用练习 - 未作答优化,Confluence,建议可感知,否,,0,
2.63.0::NetworkExceptionReport中重复的网络成功日志改为v类,2.63.0,01-05,S2、E1、S6,NetworkExceptionReport中重复的网络成功日志改为v类,Confluence,待确认,否,,0,
2.63.0::网络请求通用参数中加入did,2.63.0,01-05,S2、E1、S6,网络请求通用参数中加入did,Confluence,待确认,否,,0,
