关联ID,版本号,发版项名称,用户ID,设备,原声摘要,原声链接,触达状态,触达话术,触达人,触达时间,备注
2.73.0::备考计划支持跨册次::feedback-413819224-2026/01/11 11:11:37,2.73.0,备考计划支持跨册次,413819224,S2,寒假预复习计划什么时候有？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=413819224,未触达,,,,候选（需先在关联表确认）
2.73.0::备考计划支持跨册次::feedback-651571389-2026/03/26 10:58:12,2.73.0,备考计划支持跨册次,651571389,S6,"
几年前买了小猿学练机S2，近期试用了S6，使用下来觉得S6还是没有解决我想要的功能问题，所以决定退回S6，还是继续用S2。具体如下:
1.举一反三功能依然不智能。小孩练习的错题下面虽然有个举一反三的功能，但是推送的题型和错题完全不一样，达不到举一反三的效果。
2.S6有个定制复习计划，明明说的薄弱点是小数的加减运算，但是推送的题目完全不是小数的运算题，题型甚至和小数毫无关联，这让我怀疑你们推送的",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=651571389,未触达,,,,候选（需先在关联表确认）
2.73.0::备考计划支持跨册次::feedback-556785762-2026/04/25 15:32:10,2.73.0,备考计划支持跨册次,556785762,S2,复习计划怎么只有数学，没有语文英语其他科目的,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=556785762,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-26732967-2026/01/18 11:10:39,2.73.0,试卷「名校专区」标签,26732967,S2,在做阶段测评试卷的时候，发现里面的卷子格子或者做题间隔很小，无法写字。画面设计需要改进,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=26732967,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-525495381-2026/03/12 19:06:24,2.73.0,试卷「名校专区」标签,525495381,S2,孩子作业变多，带孩子做教材同步时感觉题目太多，不做完无法提交，能不能和阶段测评里的试卷一样有自由选题功能？这样家长可以自己选择合适的题目给小孩完成,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=525495381,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-525495381-2026/04/01 12:42:55,2.73.0,试卷「名校专区」标签,525495381,S2,"孩子作业变多，带孩子做教材同步时感觉题目太多，不做完无法提交，能不能和阶段测评里的试卷一样有自由选题功能？这样家长可以自己选择合适的题目给小孩完成。
请查看上次和反馈，根本没人重视顾客的意见，理都没人理",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=525495381,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-677845085-2026/01/19 20:02:56,2.73.0,试卷「名校专区」标签,677845085,S2,阶段测评栏目中语文没有解析和标准答案,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=677845085,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-738745375-2026/03/12 21:10:47,2.73.0,试卷「名校专区」标签,738745375,S6,这里说我们有一个阶段测评，在阶段测评里边还有一个精准学，但是我在我的本上没有找到这两项呀。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=738745375,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-828570909-2026/03/22 21:33:46,2.73.0,试卷「名校专区」标签,828570909,S2,阶段测评里面的听力不知道在哪里听,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=828570909,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-708572845-2026/06/08 07:47:07,2.73.0,试卷「名校专区」标签,708572845,S6,阶段测评是之前的版本，未更新。圆形知识点未学过,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=708572845,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1059143790-2026/01/19 12:23:14,2.73.0,试卷「名校专区」标签,1059143790,S2,教辅专区目前没有学校需要的王朝霞试卷和小白鸥试卷，希望教辅专区能多一些选择，谢谢。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1059143790,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-427583628-2026/02/01 21:10:01,2.73.0,试卷「名校专区」标签,427583628,S6,教辅专区里的试卷完成后，AI诊断功能并不能针对教辅专区里的试卷完成的结果，进行评分和相关薄弱点的举一反三是试题推送,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=427583628,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-688942892-2026/04/23 11:50:36,2.73.0,试卷「名校专区」标签,688942892,S1,教辅专区里所有的试卷，还有阅读理解字体都很小，根本看不清,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=688942892,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-211964236-2026/01/05 20:05:13,2.73.0,试卷「名校专区」标签,211964236,S2,教材选的青岛版 为什么阶段测试是人教版 所有科目版本都和我们的课本不一样,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=211964236,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1099091545-2026/04/20 13:19:39,2.73.0,试卷「名校专区」标签,1099091545,S2,苏教四下数学，阶段测验内容与教材不符,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1099091545,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-551234142-2026/01/02 12:31:24,2.73.0,试卷「名校专区」标签,551234142,S2,计算题预留空间太小，试卷排布不合理，需要反复返回查看,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=551234142,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-532860988-2026/01/02 15:06:57,2.73.0,试卷「名校专区」标签,532860988,S1,教辅专区有的不给批改、还没有答案、能不能在每套习题后面有个答案的二维码？这还得上别的软件搜索答案批改、太麻烦了,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=532860988,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-697030408-2026/01/02 20:31:58,2.73.0,试卷「名校专区」标签,697030408,S2,试卷批改不行，老是批错，明明是对的，也打叉,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=697030408,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-581004270-2026/01/02 21:06:25,2.73.0,试卷「名校专区」标签,581004270,S2,二年级冀教版单元卷中，2025-2026中上学期第一单元测试卷中，里面有一道题的答案是错误的，答案应该是93,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=581004270,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-396379398-2026/01/03 12:23:51,2.73.0,试卷「名校专区」标签,396379398,S2,图片中的题，让直接写得数。但是写答案的空留的太小，根本写不下。写在旁边就判错。所以能不能在试卷版面设计时合理留空？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=396379398,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-570900709-2026/01/06 06:06:35,2.73.0,试卷「名校专区」标签,570900709,S2,53大试卷为什么没有英语苏教版的？而且江苏版的练习太少了，能再上点新领程和提高班、实验班什么的吗？,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=570900709,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-570900709-2026/01/06 06:07:26,2.73.0,试卷「名校专区」标签,570900709,S2,"我的反馈
功能问题
2026-01-06 06:06
53大试卷为什么没有英语译林版的？而且江苏版的练习太少了，能再上点新领程和提高班、实验班什么的吗？",https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=570900709,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-238937994-2026/01/07 01:17:10,2.73.0,试卷「名校专区」标签,238937994,S2,试卷没有更新答案，批改的答案都是错的,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=238937994,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-690113222-2026/01/07 09:29:30,2.73.0,试卷「名校专区」标签,690113222,S2,试卷的部分没有筛选出对应教材，而是全国各种教材版本都在内，并且在界面内也不可筛选，只能一页页的找，1-5你年级的小朋友自己完全搞不清楚，家长有时候也分不清楚,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=690113222,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-521631520-2026/01/07 13:10:58,2.73.0,试卷「名校专区」标签,521631520,E1,希望能有过往几年期中和期末试卷真题讲解的功能,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=521631520,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-1090647365-2026/01/07 14:43:36,2.73.0,试卷「名校专区」标签,1090647365,E1,英语试卷没有听力部分，如何解决？请尽快回复。,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=1090647365,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-184402070-2026/01/07 21:16:42,2.73.0,试卷「名校专区」标签,184402070,S2,希望试卷可以打印,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=184402070,未触达,,,,候选（需先在关联表确认）
2.73.0::试卷「名校专区」标签::feedback-736390830-2026/01/08 21:27:51,2.73.0,试卷「名校专区」标签,736390830,S2,怎样关闭专项突破里面的素养专区，小孩一直拿着听故事,https://cupid.zhenguanyu.com/#/analysis/user-feedback-list?userId=736390830,未触达,,,,候选（需先在关联表确认）
